2018rank,City,State[c],2018estimate,2010Census,Change,2016 land area(sqmi),2016 land area (km2),2016 population density(/sqmi),2016 population density(/km2),Location
147,Oceanside,California,"176,080","167,086",+5.38%,41.3,107.0,"4,249","1,641", 33.2245°N 117.3062°W 
148,Salem,Oregon,"173,442","154,637",+12.16%,48.6,125.9,"3,445","1,330", 44.9237°N 123.0232°W 
149,Elk Grove,California,"172,886","153,015",+12.99%,42.2,109.3,"4,022","1,553", 38.4146°N 121.3850°W 
150,Garden Grove,California,"172,646","170,883",+1.03%,18.0,46.6,"9,714","3,751", 33.7788°N 117.9605°W 
151,Pembroke Pines,Florida,"172,374","154,019",+11.92%,33.0,85.5,"5,109","1,973", 26.0210°N 80.3404°W 
152,Peoria,Arizona,"172,259","154,065",+11.81%,175.7,455.1,934,361, 33.7862°N 112.3080°W 
153,Eugene,Oregon,"171,245","156,185",+9.64%,44.1,114.2,"3,777","1,458", 44.0567°N 123.1162°W 
154,Corona,California,"168,819","152,374",+10.79%,39.5,102.3,"4,222","1,630", 33.8620°N 117.5655°W 
155,Cary[v],North Carolina,"168,160","135,234",+24.35%,56.5,146.3,"2,873","1,109", 35.7809°N 78.8133°W 
156,Springfield,Missouri,"168,122","159,498",+5.41%,82.3,213.2,"2,033",785, 37.1942°N 93.2913°W 
157,Fort Collins,Colorado,"167,830","143,986",+16.56%,55.8,144.5,"2,943","1,136", 40.5482°N 105.0648°W 
158,Jackson,Mississippi,"164,422","173,514",−5.24%,111.0,287.5,"1,524",588, 32.3158°N 90.2128°W 
159,Alexandria[m],Virginia,"160,530","139,966",+14.69%,15.0,38.8,"10,387","4,010", 38.8201°N 77.0841°W 
160,Hayward,California,"159,620","144,186",+10.70%,45.5,117.8,"3,493","1,349", 37.6287°N 122.1024°W 
161,Lancaster,California,"159,053","156,633",+1.55%,94.3,244.2,"1,698",656, 34.6936°N 118.1753°W 
162,Lakewood,Colorado,"156,798","142,980",+9.66%,42.9,111.1,"3,599","1,390", 39.6989°N 105.1176°W 
163,Clarksville,Tennessee,"156,794","132,929",+17.95%,98.3,254.6,"1,529",590, 36.5664°N 87.3452°W 
164,Palmdale,California,"156,667","152,750",+2.56%,106.0,274.5,"1,484",573, 34.5910°N 118.1054°W 
165,Salinas,California,"156,259","150,441",+3.87%,23.6,61.1,"6,662","2,572", 36.6902°N 121.6337°W 
166,Springfield,Massachusetts,"155,032","153,060",+1.29%,31.9,82.6,"4,830","1,860", 42.1155°N 72.5400°W 
167,Hollywood,Florida,"154,823","140,768",+9.98%,27.3,70.7,"5,568","2,150", 26.0310°N 80.1646°W 
168,Pasadena,Texas,"153,219","149,043",+2.80%,43.5,112.7,"3,525","1,361", 29.6586°N 95.1506°W 
169,Sunnyvale,California,"153,185","140,081",+9.35%,22.0,57.0,"6,944","2,681", 37.3858°N 122.0263°W 
170,Macon[w],Georgia,"153,095","91,351",+67.59%,249.3,645.7,612,236, 32.8088°N 83.6942°W 
171,Kansas City[x],Kansas,"152,958","145,786",+4.92%,124.8,323.2,"1,216",470, 39.1225°N 94.7418°W 
